token,list of numbers
jut,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
rear,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
utilit,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
alert,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
overst,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
baloney,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
alarm,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
beep,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
inject,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
tdf,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
nour,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
broadest,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
ch\xc3\xa8,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ba,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
m\xc3\xa0u,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
definitey,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
ga,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
769,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
gris,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
overus,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
749+tax,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
badg,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
eyerol,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
steamedr,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
060,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
chik,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
thumbnail,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
kee,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
mao,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
sukho,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
17th,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
unattract,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
typefac,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
wanton,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
undress,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
unnee,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
butterscotchy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
69/10,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
carolin,"[0, 0, 0, 0, 0, 0, 5, 0, 0]"
rectangul,"[1, 0, 1, 0, 0, 0, 0, 0, 0]"
underdel,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
perfunct,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
radi,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
valuew,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
whimpy,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
cabinet,"[1, 0, 1, 0, 0, 0, 0, 0, 2]"
dimsum,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
superweird,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
dimsim,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
teapot,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
puff,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
sparerib,"[1, 0, 1, 0, 0, 0, 0, 0, 0]"
tentac,"[0, 0, 1, 0, 1, 0, 1, 0, 0]"
buffetstyl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
deshel,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
coldnt,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
hugry,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
hotpl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
jajangmyeon,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
honeypotato,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
deliciuo,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
chige,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
hub,"[0, 0, 0, 0, 1, 0, 1, 0, 2]"
599+tax,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
greenleaf,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
campus/in,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
cayen,"[1, 0, 1, 0, 0, 0, 0, 0, 0]"
customerfriend,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
elig,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
059,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
unaw,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
blanch,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
crabby,"[7, 0, 3, 0, 1, 0, 0, 0, 0]"
uncheesy,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
sirloin\xef\xbc\x8cwith,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
starter\xef\xbc\x8c,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
ok\xef\xbc\x8c,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
order/food,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
5:30pm,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
6:10pm,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
unspec,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
ash,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
unsolicit,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
esm,"[4, 0, 3, 0, 1, 0, 1, 0, 1]"
orangecol,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
*facepalm*,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
allrecip,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
forefront,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
7th,"[3, 0, 0, 0, 0, 0, 0, 0, 0]"
retract,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
hab,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
grimac,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
metro,"[0, 0, 3, 0, 1, 0, 4, 0, 1]"
variations,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
saurekraut,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
herm,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
lederhos,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
swoop,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
stonewal,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
1620,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
feb27/15,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
conv,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
fraud,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
30c,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
switzerland,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
cambod,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
lettuce/caesar,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
chlorine,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
2100,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
beefy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
homeless,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
countersign,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
donair,"[4, 0, 0, 0, 4, 0, 2, 0, 2]"
effervesc,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
7759,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
f******,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
food/dollar,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
alreadyth,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
flavouring/marinat,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
prefry,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
braz,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
wiv,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
crinkl,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
thisnus,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
dippy,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
fost,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
darl,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
boxty,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
scoot,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
personals,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
hst,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
nonsandwich,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
rice/quinoa,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
quion,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
ditch,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
aca,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
vita,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
nutry,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
res,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
cring,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
primit,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
calloutyournameandcomegrabyourfood,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
barist,"[0, 0, 3, 0, 7, 0, 1, 0, 2]"
ansley,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
stretched,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
clan,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
fist,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
rins,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
vit,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
915,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
\xe2\x80\x8band,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
catf,"[0, 0, 0, 0, 0, 0, 2, 0, 2]"
nawlin,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
habenero,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
headchef,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
thym,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
bajil,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
transit,"[1, 0, 0, 0, 0, 0, 2, 0, 2]"
pumpkin/,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
defibril,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
kidfriend,"[0, 0, 0, 0, 1, 0, 1, 0, 0]"
fritt,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
frazzl,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
clang,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
capellet,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
sp,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
dee,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
blob,"[3, 0, 0, 0, 0, 0, 0, 0, 0]"
methink,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
outshin,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
milanes,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
scald,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
1800,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
hiur,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
workplac,"[1, 0, 0, 0, 1, 0, 0, 0, 0]"
prefroz,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
margarin,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
cockroach,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
softdrink,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
pretax/tip,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
grill/bar,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
they/we,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
decentnot,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
overdress,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
overblown,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
beppo,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
stash,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
gentr,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
locallyproduc,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
kitchen/sandwich,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
morethanfair,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
raisin,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
qsc,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
lowincom,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
860,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
m/mr,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
pamel,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
allweath,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ray,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
rugr,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
volcano,"[0, 0, 0, 0, 0, 0, 2, 0, 2]"
sclerosis,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
crimin,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
1700,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
mgs,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
rendit,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
sweet/salty/spicy,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
swor,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
enamo,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
leech,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
27/17,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
behn,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
shd,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
panay,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
padsiew,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
eyebrow,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
gnnochi,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
sweetest,"[0, 0, 0, 0, 0, 0, 3, 0, 1]"
harm,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
bod,"[1, 0, 0, 0, 0, 0, 0, 0, 2]"
yer,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
sumatr,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
parbak,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
halfbak,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
nuttyflav,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
downturn,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
poundcak,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
pulpy,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
386,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
faceless,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
multin,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
upholst,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
splurges,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
kay,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
inerj,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
afr,"[0, 0, 0, 0, 0, 0, 2, 0, 2]"
reloc,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
tait,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
afric,"[0, 0, 0, 0, 0, 0, 0, 0, 3]"
plung,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
tusk,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
keny,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
5500,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
trickl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
absorb,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
oilbas,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
tibsalich,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
enjir,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
waaaaaaaaaaay,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
heady,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
afwark,"[0, 0, 0, 0, 0, 0, 0, 0, 5]"
pepper/curry,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
amarul,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
dorow,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
injar,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
eritreanethiop,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
billboard,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
afework,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
girmayy,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
eritreanehtop,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
husband/wife,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
dingey,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
gro,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
tying,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
km,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
pickley,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
falaf,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
20ish,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
dontbechick,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
coollook,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
chocolatecov,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
rawlicy,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
deto,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
401,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
turm,"[1, 0, 0, 0, 0, 0, 1, 0, 0]"
fauxnoodl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
saltysweet,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
fauxm,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
cheeseless,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
marzip,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
cookbook,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
hemp,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
margerit,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
4layer,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
ferrar,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
pacino,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
deliyummyum,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
panzerott,"[3, 0, 0, 0, 0, 0, 1, 0, 2]"
wallop,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
crustendh,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
offtheb,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
cafetyp,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
panzerot,"[4, 0, 0, 0, 1, 0, 0, 0, 1]"
brio,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
attain,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
7080,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
cheesebread,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
occaid,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
inexplain,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
idear,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
floret,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
salad/bread,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
515pm,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
brotherinlaw,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
scallopin,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
3/10,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
cosmopolit,"[1, 0, 0, 0, 0, 0, 1, 0, 1]"
4/10,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
whin,"[2, 0, 1, 0, 0, 0, 0, 0, 0]"
mulino,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
screamed,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
airtight,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
complimentry,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
accross,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
97+,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
sixty,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
mismatch,"[0, 0, 0, 0, 0, 0, 1, 0, 1]"
rap,"[0, 0, 0, 0, 6, 0, 0, 0, 0]"
rewind,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
afterho,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
convuls,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
belt,"[1, 0, 0, 0, 2, 0, 0, 0, 0]"
buckl,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
roofy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
mort,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
barista,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
speech,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
hostil,"[2, 0, 0, 0, 1, 0, 0, 0, 0]"
metoo,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
shreds,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
unrip,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
leafy,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
sinatr,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
je,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
ne,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
sai,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
pony,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
cowgirl,"[0, 0, 1, 0, 2, 0, 2, 0, 4]"
sasquatch,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
oat,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
collard,"[0, 0, 1, 0, 0, 0, 1, 0, 1]"
twistty,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
whims,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
earthlov,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
hiv,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
swol,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
incomplet,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
kombuch,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
labrad,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
click,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
tinnit,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
meow,"[0, 0, 2, 0, 0, 0, 0, 0, 0]"
inflect,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
paleo,"[0, 0, 0, 0, 0, 0, 2, 0, 1]"
sasquach,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
table,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
yoyo,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
terry,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
brunchy,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
itty,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
bitty,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
hodg,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
podg,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
knick,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
snowsho,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
wildn,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
vintage/homeyness,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
70s80s,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
calg,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
nel,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
weth,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
sheesh,"[0, 0, 0, 0, 0, 0, 0, 0, 2]"
schwarama,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
2+,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
janit,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
closet,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
dungeon,"[0, 0, 0, 0, 1, 0, 1, 0, 1]"
biz,"[0, 0, 0, 0, 3, 0, 0, 0, 0]"
panz,"[0, 0, 0, 0, 7, 0, 0, 0, 0]"
openfac,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
rotfl,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
ofp,"[0, 0, 0, 0, 2, 0, 0, 0, 0]"
cfmp,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
grimy,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
villagio,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
woolwich,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
marzano,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
brittl,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
experiencealway,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
helpingth,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
lrg,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
2014mar08,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
twothird,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
flowerpot,"[0, 0, 0, 0, 0, 0, 2, 0, 0]"
applecinammon,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
coul,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
100s,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
crab/bacon,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
lateev,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
roadwarry,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
soupandsaladattheb,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
emblazon,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
compound,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
mortarboard,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
meatbas,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
limoncello,"[0, 0, 0, 0, 0, 0, 3, 0, 0]"
